DATE: Tue Nov 15 15:06:18 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: REVERSE_SERVER; MESSAGE: anna
DATE: Tue Nov 15 15:06:43 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: REVERSE_SERVER; MESSAGE: Ahah! You don't work
DATE: Tue Nov 15 15:07:18 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: REVERSE_SERVER; MESSAGE: mmm.. give me the number of active connections..
DATE: Tue Nov 15 15:07:20 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: REVERSE_SERVER; MESSAGE: CONN
DATE: Tue Nov 15 15:07:31 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: REVERSE_SERVER; MESSAGE: Only me? I quit.
DATE: Tue Nov 15 15:08:22 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: Hi?
DATE: Tue Nov 15 15:08:30 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: Is there somebody?
DATE: Tue Nov 15 15:08:32 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: CONN
DATE: Tue Nov 15 15:08:35 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: :(
DATE: Tue Nov 15 15:08:55 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: USERNAME
DATE: Tue Nov 15 15:09:03 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: CONN
DATE: Tue Nov 15 15:09:09 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: Hi?
DATE: Tue Nov 15 15:09:18 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: USERNAME
DATE: Tue Nov 15 15:09:23 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: USERNAME
DATE: Tue Nov 15 15:09:39 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: How are you?
DATE: Tue Nov 15 15:09:48 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: Fine thank you!
DATE: Tue Nov 15 15:09:54 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: CONN
DATE: Tue Nov 15 15:10:04 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: CONN
DATE: Tue Nov 15 15:10:09 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: Who is the third?
DATE: Tue Nov 15 15:10:13 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: USERNAME
DATE: Tue Nov 15 15:10:21 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: Me!
